BioVGO;Treactor;Rendnafta
0;460;38.85
0;462;39.56
0;464;40.24
0;466;40.92
0;468;41.58
0;470;42.22
0;472;42.85
0;474;43.46
0;476;44.06
0;478;44.52
0;480;44.95
0;482;45.37
0;484;45.78
0;486;46.19
0;488;46.59
0;490;46.98
0;492;47.36
0;494;47.73
0;496;48.09
0;498;48.45
0;500;48.79
0;502;49.12
0;504;49.45
0;506;49.76
0;508;50.07
0;510;50.37
0;512;50.66
0;514;50.94
0;516;51.21
0;518;51.47
0;520;51.72
0;522;51.95
0;524;52.16
0;526;52.34
0;528;52.49
0;530;52.6
0;532;52.66
0;534;52.67
0;536;52.61
0;538;52.47
0;540;52.23
0;542;51.87
0;544;51.38
0;546;50.72
0;548;49.88
0;550;48.83
0;552;47.55
0;554;46
0;556;44.17
0;558;42.02
0;560;39.56
0;562;36.76
0;564;33.62
0;566;30.16
0;568;26.37
0;570;22.3
10;460;40.17
10;462;40.88
10;464;41.57
10;466;42.25
10;468;42.91
10;470;43.56
10;472;44.19
10;474;44.8
10;476;45.4
10;478;45.98
10;480;46.55
10;482;47.09
10;484;47.62
10;486;48.13
10;488;48.62
10;490;49.09
10;492;49.54
10;494;49.97
10;496;50.38
10;498;50.77
10;500;51.15
10;502;51.45
10;504;51.73
10;506;52
10;508;52.26
10;510;52.51
10;512;52.76
10;514;53
10;516;53.22
10;518;53.43
10;520;53.63
10;522;53.8
10;524;53.95
10;526;54.07
10;528;54.15
10;530;54.19
10;532;54.17
10;534;54.1
10;536;53.95
10;538;53.71
10;540;53.37
10;542;52.91
10;544;52.31
10;546;51.54
10;548;50.57
10;550;49.4
10;552;47.98
10;554;46.29
10;556;44.32
10;558;42.04
10;560;39.43
10;562;36.5
10;564;33.23
10;566;29.63
10;568;25.73
10;570;21.55
20;460;41.94
20;462;42.64
20;464;43.32
20;466;43.99
20;468;44.65
20;470;45.28
20;472;45.9
20;474;46.5
20;476;47.09
20;478;47.66
20;480;48.2
20;482;48.73
20;484;49.24
20;486;49.73
20;488;50.2
20;490;50.66
20;492;51.09
20;494;51.5
20;496;51.9
20;498;52.28
20;500;52.64
20;502;52.99
20;504;53.32
20;506;53.64
20;508;53.95
20;510;54.23
20;512;54.51
20;514;54.77
20;516;55
20;518;55.22
20;520;55.41
20;522;55.53
20;524;55.62
20;526;55.68
20;528;55.69
20;530;55.66
20;532;55.58
20;534;55.42
20;536;55.19
20;538;54.86
20;540;54.43
20;542;53.86
20;544;53.15
20;546;52.27
20;548;51.19
20;550;49.89
20;552;48.34
20;554;46.53
20;556;44.42
20;558;42.01
20;560;39.27
20;562;36.21
20;564;32.82
20;566;29.11
20;568;25.09
20;570;20.81
30;460;43.94
30;462;44.62
30;464;45.29
30;466;45.93
30;468;46.57
30;470;47.18
30;472;47.77
30;474;48.35
30;476;48.91
30;478;49.45
30;480;49.97
30;482;50.47
30;484;50.95
30;486;51.41
30;488;51.85
30;490;52.27
30;492;52.68
30;494;53.06
30;496;53.44
30;498;53.79
30;500;54.13
30;502;54.46
30;504;54.77
30;506;55.06
30;508;55.35
30;510;55.61
30;512;55.87
30;514;56.1
30;516;56.31
30;518;56.5
30;520;56.66
30;522;56.79
30;524;56.88
30;526;56.93
30;528;56.93
30;530;56.88
30;532;56.76
30;534;56.57
30;536;56.29
30;538;55.91
30;540;55.39
30;542;54.73
30;544;53.92
30;546;52.93
30;548;51.73
30;550;50.32
30;552;48.65
30;554;46.71
30;556;44.49
30;558;41.95
30;560;39.09
30;562;35.9
30;564;32.4
30;566;28.57
30;568;24.46
30;570;20.09
40;460;46.09
40;462;46.74
40;464;47.37
40;466;47.99
40;468;48.59
40;470;49.17
40;472;49.73
40;474;50.27
40;476;50.79
40;478;51.29
40;480;51.77
40;482;52.24
40;484;52.68
40;486;53.11
40;488;53.51
40;490;53.9
40;492;54.28
40;494;54.63
40;496;54.97
40;498;55.3
40;500;55.61
40;502;55.91
40;504;56.19
40;506;56.46
40;508;56.72
40;510;56.96
40;512;57.18
40;514;57.38
40;516;57.56
40;518;57.71
40;520;57.83
40;522;57.92
40;524;57.97
40;526;57.98
40;528;57.94
40;530;57.84
40;532;57.67
40;534;57.42
40;536;57.08
40;538;56.63
40;540;56.06
40;542;55.35
40;544;54.48
40;546;53.42
40;548;52.15
40;550;50.65
40;552;48.89
40;554;46.85
40;556;44.51
40;558;41.86
40;560;38.88
40;562;35.59
40;564;31.97
40;566;28.04
40;568;23.83
40;570;19.37
50;460;48.33
50;462;48.94
50;464;49.54
50;466;50.11
50;468;50.67
50;470;51.2
50;472;51.72
50;474;52.22
50;476;52.7
50;478;53.16
50;480;53.6
50;482;54.02
50;484;54.42
50;486;54.81
50;488;55.18
50;490;55.53
50;492;55.87
50;494;56.19
50;496;56.5
50;498;56.8
50;500;57.08
50;502;57.35
50;504;57.6
50;506;57.84
50;508;58.06
50;510;58.27
50;512;58.46
50;514;58.62
50;516;58.76
50;518;58.88
50;520;58.96
50;522;59.01
50;524;59.02
50;526;58.98
50;528;58.89
50;530;58.73
50;532;58.51
50;534;58.21
50;536;57.81
50;538;57.3
50;540;56.67
50;542;55.89
50;544;54.94
50;546;53.81
50;548;52.47
50;550;50.89
50;552;49.05
50;554;46.94
50;556;44.52
50;558;41.79
50;560;38.74
50;562;35.36
50;564;31.65
50;566;27.64
50;568;23.35
50;570;18.81
60;460;48.33
60;462;48.94
60;464;49.54
60;466;50.11
60;468;50.67
60;470;51.2
60;472;51.72
60;474;52.22
60;476;52.7
60;478;53.16
60;480;53.6
60;482;54.02
60;484;54.42
60;486;54.81
60;488;55.18
60;490;55.53
60;492;55.87
60;494;56.19
60;496;56.5
60;498;56.8
60;500;57.08
60;502;57.35
60;504;57.6
60;506;57.84
60;508;58.06
60;510;58.27
60;512;58.46
60;514;58.62
60;516;58.76
60;518;58.88
60;520;58.96
60;522;59.01
60;524;59.02
60;526;58.98
60;528;58.89
60;530;58.73
60;532;58.51
60;534;58.21
60;536;57.81
60;538;57.3
60;540;56.67
60;542;55.89
60;544;54.94
60;546;53.81
60;548;52.47
60;550;50.89
60;552;49.05
60;554;46.94
60;556;44.52
60;558;41.79
60;560;38.74
60;562;35.36
60;564;31.65
60;566;27.64
60;568;23.35
60;570;18.81
70;460;52.95
70;462;53.46
70;464;53.94
70;466;54.41
70;468;54.87
70;470;55.3
70;472;55.72
70;474;56.12
70;476;56.51
70;478;56.88
70;480;57.23
70;482;57.57
70;484;57.89
70;486;58.2
70;488;58.49
70;490;58.77
70;492;59.03
70;494;59.29
70;496;59.53
70;498;59.75
70;500;59.97
70;502;60.17
70;504;60.35
70;506;60.52
70;508;60.67
70;510;60.8
70;512;60.92
70;514;61
70;516;61.07
70;518;61.1
70;520;61.1
70;522;61.06
70;524;60.97
70;526;60.84
70;528;60.65
70;530;60.4
70;532;60.07
70;534;59.66
70;536;59.15
70;538;58.52
70;540;57.77
70;542;56.86
70;544;55.79
70;546;54.53
70;548;53.05
70;550;51.34
70;552;49.37
70;554;47.12
70;556;44.57
70;558;41.71
70;560;38.52
70;562;35.02
70;564;31.19
70;566;27.06
70;568;22.66
70;570;18.02
80;460;55.26
80;462;55.71
80;464;56.14
80;466;56.56
80;468;56.96
80;470;57.34
80;472;57.71
80;474;58.06
80;476;58.4
80;478;58.72
80;480;59.03
80;482;59.33
80;484;59.61
80;486;59.88
80;488;60.13
80;490;60.38
80;492;60.61
80;494;60.82
80;496;61.03
80;498;61.22
80;500;61.39
80;502;61.56
80;504;61.7
80;506;61.84
80;508;61.95
80;510;62.04
80;512;62.11
80;514;62.16
80;516;62.18
80;518;62.16
80;520;62.12
80;522;62.03
80;524;61.9
80;526;61.72
80;528;61.49
80;530;61.18
80;532;60.8
80;534;60.34
80;536;59.77
80;538;59.09
80;540;58.27
80;542;57.31
80;544;56.18
80;546;54.86
80;548;53.32
80;550;51.55
80;552;49.52
80;554;47.21
80;556;44.6
80;558;41.69
80;560;38.45
80;562;34.89
80;564;31.01
80;566;26.83
80;568;22.38
80;570;17.7
90;460;57.56
90;462;57.95
90;464;58.33
90;466;58.69
90;468;59.04
90;470;59.37
90;472;59.69
90;474;60
90;476;60.29
90;478;60.57
90;480;60.84
90;482;61.1
90;484;61.34
90;486;61.57
90;488;61.79
90;490;61.99
90;492;62.18
90;494;62.36
90;496;62.53
90;498;62.68
90;500;62.82
90;502;62.94
90;504;63.05
90;506;63.14
90;508;63.21
90;510;63.26
90;512;63.29
90;514;63.29
90;516;63.27
90;518;63.21
90;520;63.12
90;522;62.99
90;524;62.81
90;526;62.58
90;528;62.3
90;530;61.94
90;532;61.51
90;534;60.99
90;536;60.37
90;538;59.63
90;540;58.76
90;542;57.74
90;544;56.55
90;546;55.17
90;548;53.58
90;550;51.75
90;552;49.67
90;554;47.3
90;556;44.64
90;558;41.68
90;560;38.39
90;562;34.78
90;564;30.86
90;566;26.63
90;568;22.14
90;570;17.43
100;460;59.84
100;462;60.17
100;464;60.5
100;466;60.81
100;468;61.11
100;470;61.4
100;472;61.67
100;474;61.93
100;476;62.19
100;478;62.43
100;480;62.65
100;482;62.87
100;484;63.07
100;486;63.26
100;488;63.44
100;490;63.61
100;492;63.76
100;494;63.91
100;496;64.03
100;498;64.14
100;500;64.24
100;502;64.32
100;504;64.39
100;506;64.44
100;508;64.46
100;510;64.47
100;512;64.45
100;514;64.41
100;516;64.34
100;518;64.24
100;520;64.1
100;522;63.92
100;524;63.7
100;526;63.42
100;528;63.08
100;530;62.67
100;532;62.19
100;534;61.62
100;536;60.94
100;538;60.15
100;540;59.23
100;542;58.15
100;544;56.91
100;546;55.48
100;548;53.83
100;550;51.95
100;552;49.81
100;554;47.4
100;556;44.69
100;558;41.67
100;560;38.34
100;562;34.69
100;564;30.72
100;566;26.46
100;568;21.93
100;570;17.18
