State;FCC-100 - Weight % Zeolite (A/F-3);FCC-100 - Weight % Alumina (A/F-3);FCC-100 - Weight % Rare Earth (A/F-3);FCC-100 - Yield, Std Cut Detailed (H2S-Mass Flow);FCC-100 - Yield, Std Cut Detailed (Coke-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Fuel Gas-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Naphtha C5-430F-Mass Flow);FCC-100 - Yield, Std Cut Grouped (LCO 430-650F-Mass Flow);FCC-100 - Regen Coke on Regen Catalyst (Regenerator);FCC-100 - Regen Coke on Spent Cat (Regenerator)
;;;;kg/h;kg/h;kg/h;kg/h;kg/h;%;%
Case 4;18;25;4.033;2624;1,08E+07;9515;8,29E+07;2,15E+07;0.05117;0.6763
Case 5;18;25;5.361;2624;1,08E+07;9347;8,39E+07;2,15E+07;0.05145;0.675
Case 6;18;25;6.689;2623;1,08E+07;9182;8,49E+07;2,15E+07;0.05143;0.6751
Case 7;18;25;8.017;2623;1,08E+07;9019;8,59E+07;2,16E+07;0.05134;0.6755
Case 8;18;25;9.344;2622;1,08E+07;8856;8,69E+07;2.16e+004;0.05123;0.6761
Case 9;18;25;10.67;2620;1,08E+07;8693;8,79E+07;2,16E+07;0.05109;0.6768
Case 10;18;25;12;2619;1,08E+07;8531;8,89E+07;2,17E+07;0.05095;0.6775
Case 14;18;27.78;4.033;2630;1,08E+07;9512;8,28E+07;2.15e+004;0.05182;0.6735
Case 15;18;27.78;5.361;2630;1,08E+07;9347;8,38E+07;2,15E+07;0.05187;0.6733
Case 16;18;27.78;6.689;2629;1,08E+07;9183;8,48E+07;2,15E+07;0.05182;0.6736
Case 17;18;27.78;8.017;2628;1,08E+07;9019;8,58E+07;2,16E+07;0.05171;0.6741
Case 18;18;27.78;9.344;2627;1,08E+07;8856;8,68E+07;2,16E+07;0.05159;0.6747
Case 19;18;27.78;10.67;2626;1,08E+07;8694;8,78E+07;2,16E+07;0.05145;0.6754
Case 20;18;27.78;12;2625;1,08E+07;8532;8,88E+07;2,17E+07;0.0513;0.6761
Case 23;18;30.56;2.706;2636;1,08E+07;9679;8,16E+07;2,15E+07;0.05203;0.6728
Case 24;18;30.56;4.033;2636;1,08E+07;9512;8,27E+07;2,15E+07;0.05229;0.6716
Case 25;18;30.56;5.361;2635;1,08E+07;9347;8,37E+07;2,15E+07;0.05228;0.6717
Case 26;18;30.56;6.689;2634;1,08E+07;9183;8.47e+004;2,15E+07;0.0522;0.6721
Case 27;18;30.56;8.017;2633;1,08E+07;9020;8,57E+07;2,16E+07;0.05208;0.6727
Case 28;18;30.56;9.344;2632;1,08E+07;8857;8,67E+07;2,16E+07;0.05195;0.6733
Case 29;18;30.56;10.67;2631;1,08E+07;8695;8,77E+07;2,16E+07;0.05181;0.674
Case 30;18;30.56;12;2630;1,08E+07;8533;8,87E+07;2,16E+07;0.05166;0.6747
Case 33;18;33.33;2.706;2642;1,08E+07;9677;8,15E+07;2,15E+07;0.05266;0.6702
Case 34;18;33.33;4.033;2641;1,08E+07;9511;8,26E+07;2,15E+07;0.05272;0.67
Case 35;18;33.33;5.361;2640;1,08E+07;9347;8,36E+07;2,15E+07;0.05267;0.6702
Case 36;18;33.33;6.689;2639;1,08E+07;9183;8,46E+07;2,15E+07;0.05257;0.6707
Case 37;18;33.33;8.017;2638;1,08E+07;9020;8.56e+004;2,16E+07;0.05245;0.6713
Case 38;18;33.33;9.344;2637;1,08E+07;8858;8.66e+004;2,16E+07;0.05232;0.6719
Case 39;18;33.33;10.67;2636;1,08E+07;8696;8.76e+004;2,16E+07;0.05217;0.6726
Case 40;18;33.33;12;2635;1,08E+07;8534;8.86e+004;2,16E+07;0.05202;0.6734
Case 42;18;36.11;1.378;2648;1,08E+07;9843;8.04e+004;2,15E+07;0.05289;0.6695
Case 43;18;36.11;2.706;2647;1,08E+07;9676;8,15E+07;2,15E+07;0.05314;0.6684
Case 44;18;36.11;4.033;2647;1,08E+07;9511;8,25E+07;2,15E+07;0.05313;0.6684
Case 45;18;36.11;5.361;2646;1,08E+07;9347;8,35E+07;2.15e+004;0.05306;0.6688
Case 46;18;36.11;6.689;2645;1,08E+07;9184;8,45E+07;2,15E+07;0.05295;0.6693
Case 47;18;36.11;8.017;2644;1,08E+07;9021;8,55E+07;2,16E+07;0.05282;0.6699
Case 48;18;36.11;9.344;2643;1,08E+07;8859;8,65E+07;2,16E+07;0.05268;0.6706
Case 49;18;36.11;10.67;2642;1,08E+07;8697;8,75E+07;2,16E+07;0.05254;0.6713
Case 50;18;36.11;12;2640;1,08E+07;8535;8,85E+07;2,16E+07;0.05238;0.672
Case 52;18;38.89;1.378;2653;1,08E+07;9841;8,03E+07;2,14E+07;0.05352;0.667
Case 53;18;38.89;2.706;2653;1,08E+07;9675;8,14E+07;2,15E+07;0.05358;0.6667
Case 54;18;38.89;4.033;2652;1,08E+07;9511;8,24E+07;2,15E+07;0.05353;0.6669
Case 55;18;38.89;5.361;2651;1,08E+07;9347;8,34E+07;2,15E+07;0.05344;0.6674
Case 56;18;38.89;6.689;2650;1,08E+07;9184;8,44E+07;2,15E+07;0.05332;0.6679
Case 57;18;38.89;8.017;2649;1,08E+07;9022;8,54E+07;2,16E+07;0.05319;0.6685
Case 58;18;38.89;9.344;2648;1,08E+07;8859;8,64E+07;2,16E+07;0.05305;0.6692
Case 59;18;38.89;10.67;2647;1,08E+07;8698;8,74E+07;2.16e+004;0.0529;0.6699
Case 60;18;38.89;12;2646;1,08E+07;8537;8,84E+07;2,16E+07;0.05275;0.6706
Case 61;18;41.67;0.05;2659;1,08E+07;1,00E+07;7,92E+07;2,14E+07;0.05376;0.6662
Case 62;18;41.67;1.378;2659;1,08E+07;9840;8,02E+07;2,14E+07;0.054;0.6651
Case 63;18;41.67;2.706;2658;1,08E+07;9675;8,12E+07;2,14E+07;0.054;0.6652
Case 64;18;41.67;4.033;2657;1,08E+07;9511;8,23E+07;2,15E+07;0.05393;0.6655
Case 65;18;41.67;5.361;2656;1,08E+07;9347;8,33E+07;2,15E+07;0.05382;0.666
Case 66;18;41.67;6.689;2655;1,08E+07;9184;8,43E+07;2,15E+07;0.0537;0.6666
Case 67;18;41.67;8.017;2654;1,08E+07;9022;8,53E+07;2,15E+07;0.05357;0.6672
Case 68;18;41.67;9.344;2653;1,08E+07;8860;8,63E+07;2,16E+07;0.05342;0.6678
Case 69;18;41.67;10.67;2652;1,08E+07;8699;8,73E+07;2,16E+07;0.05327;0.6685
Case 70;18;41.67;12;2651;1,08E+07;8538;8,83E+07;2,16E+07;0.05312;0.6692
Case 71;18;44.44;0.05;2665;1,08E+07;1,00E+04;7.91e+004;2.14e+004;0.05438;0.6638
Case 72;18;44.44;1.378;2665;1,08E+07;9839;8,01E+07;2,14E+07;0.05445;0.6635
Case 73;18;44.44;2.706;2664;1,08E+07;9674;8,11E+07;2,14E+07;0.0544;0.6637
Case 74;18;44.44;4.033;2663;1,08E+07;9511;8,22E+07;2,15E+07;0.05432;0.6641
Case 75;18;44.44;5.361;2662;1,08E+07;9348;8,32E+07;2,15E+07;0.05421;0.6646
Case 76;18;44.44;6.689;2661;1,08E+07;9185;8,42E+07;2,15E+07;0.05408;0.6652
Case 77;18;44.44;8.017;2660;1,08E+07;9023;8,52E+07;2,15E+07;0.05394;0.6658
Case 78;18;44.44;9.344;2658;1,08E+07;8861;8,62E+07;2,16E+07;0.05379;0.6665
Case 79;18;44.44;10.67;2657;1,08E+07;8700;8,72E+07;2,16E+07;0.05364;0.6672
Case 80;18;44.44;12;2656;1,08E+07;8539;8,82E+07;2,16E+07;0.05349;0.6679
Case 81;18;47.22;0.05;2671;1,08E+07;1,00E+04;7.9e+004;2,14E+07;0.05487;0.662
Case 82;18;47.22;1.378;2670;1,08E+07;9838;8,00E+07;2,14E+07;0.05487;0.662
Case 83;18;47.22;2.706;2669;1,08E+07;9674;8,10E+07;2,14E+07;0.05481;0.6623
Case 84;18;47.22;4.033;2668;1,08E+07;9511;8,20E+07;2,15E+07;0.05471;0.6627
Case 85;18;47.22;5.361;2667;1,08E+07;9348;8,31E+07;2,15E+07;0.05459;0.6633
Case 86;18;47.22;6.689;2666;1,08E+07;9185;8,41E+07;2.15e+004;0.05446;0.6639
Case 87;18;47.22;8.017;2665;1,08E+07;9023;8,51E+07;2,15E+07;0.05432;0.6645
Case 88;18;47.22;9.344;2664;1,08E+07;8862;8,61E+07;2,16E+07;0.05417;0.6651
Case 89;18;47.22;10.67;2662;1,08E+07;8701;8,71E+07;2,16E+07;0.05402;0.6658
Case 90;18;47.22;12;2661;1,08E+07;8540;8,81E+07;2.16e+004;0.05386;0.6665
Case 91;18;50;0.05;2676;1,08E+07;1,00E+04;7.89e+004;2,14E+07;0.05532;0.6604
Case 92;18;50;1.378;2675;1,08E+07;9838;7,99E+07;2.14e+004;0.05529;0.6605
Case 93;18;50;2.706;2674;1,08E+07;9674;8,09E+07;2,14E+07;0.0552;0.6609
Case 94;18;50;4.033;2673;1,08E+07;9511;8,19E+07;2,14E+07;0.0551;0.6614
Case 95;18;50;5.361;2672;1,08E+07;9348;8,29E+07;2,15E+07;0.05497;0.6619
Case 96;18;50;6.689;2671;1,08E+07;9186;8,39E+07;2,15E+07;0.05484;0.6625
Case 97;18;50;8.017;2670;1,08E+07;9024;8,50E+07;2,15E+07;0.0547;0.6631
Case 98;18;50;9.344;2669;1,08E+07;8862;8,60E+07;2,15E+07;0.05455;0.6638
Case 99;18;50;10.67;2668;1,08E+07;8701;8,70E+07;2,16E+07;0.0544;0.6645
Case 100;18;50;12;2667;1,08E+07;8541;8,80E+07;2,16E+07;0.05424;0.6652
Case 103;20.67;25;2.706;2626;1,08E+07;9605;8,22E+07;2,15E+07;0.05175;0.6735
Case 104;20.67;25;4.033;2626;1,08E+07;9437;8.32e+004;2,15E+07;0.05204;0.6721
Case 105;20.67;25;5.361;2625;1,08E+07;9272;8,42E+07;2,15E+07;0.05202;0.6723
Case 106;20.67;25;6.689;2624;1,08E+07;9107;8,52E+07;2,15E+07;0.05193;0.6727
Case 107;20.67;25;8.017;2623;1,08E+07;8944;8,62E+07;2,15E+07;0.05181;0.6733
Case 108;20.67;25;9.344;2622;1,08E+07;8781;8,72E+07;2,16E+07;0.05168;0.6739
Case 109;20.67;25;10.67;2621;1,08E+07;8619;8,82E+07;2,16E+07;0.05153;0.6747
Case 110;20.67;25;12;2620;1,08E+07;8457;8,92E+07;2,16E+07;0.05137;0.6754
Case 113;20.67;27.78;2.706;2632;1,08E+07;9602;8,21E+07;2,14E+07;0.05241;0.6707
Case 114;20.67;27.78;4.033;2631;1,08E+07;9436;8.31e+004;2,15E+07;0.05247;0.6705
Case 115;20.67;27.78;5.361;2631;1,08E+07;9272;8,41E+07;2,15E+07;0.05241;0.6708
Case 116;20.67;27.78;6.689;2630;1,08E+07;9108;8,51E+07;2,15E+07;0.05231;0.6713
Case 117;20.67;27.78;8.017;2629;1,08E+07;8945;8,61E+07;2,15E+07;0.05218;0.6719
Case 118;20.67;27.78;9.344;2627;1,08E+07;8782;8,71E+07;2,16E+07;0.05204;0.6726
Case 119;20.67;27.78;10.67;2626;1,08E+07;8620;8,81E+07;2,16E+07;0.05188;0.6733
Case 120;20.67;27.78;12;2625;1,08E+07;8458;8,91E+07;2,16E+07;0.05172;0.6741
Case 122;20.67;30.56;1.378;2638;1,08E+07;9769;8,09E+07;2,14E+07;0.05262;0.67
Case 123;20.67;30.56;2.706;2638;1,08E+07;9601;8,20E+07;2,14E+07;0.05289;0.6688
Case 124;20.67;30.56;4.033;2637;1,08E+07;9436;8.3e+004;2,15E+07;0.05288;0.6689
Case 125;20.67;30.56;5.361;2636;1,08E+07;9272;8,40E+07;2,15E+07;0.05279;0.6693
Case 126;20.67;30.56;6.689;2635;1,08E+07;9108;8,50E+07;2.15e+004;0.05268;0.6699
Case 127;20.67;30.56;8.017;2634;1,08E+07;8945;8,60E+07;2,15E+07;0.05254;0.6705
Case 128;20.67;30.56;9.344;2633;1,08E+07;8783;8,70E+07;2,16E+07;0.0524;0.6712
Case 129;20.67;30.56;10.67;2632;1,08E+07;8621;8,80E+07;2,16E+07;0.05224;0.6719
Case 130;20.67;30.56;12;2630;1,08E+07;8459;8,90E+07;2,16E+07;0.05208;0.6727
Case 132;20.67;33.33;1.378;2644;1,08E+07;9767;8,09E+07;2,14E+07;0.05326;0.6674
Case 133;20.67;33.33;2.706;2643;1,08E+07;9601;8,19E+07;2,14E+07;0.05333;0.6672
Case 134;20.67;33.33;4.033;2642;1,08E+07;9436;8,29E+07;2,15E+07;0.05327;0.6674
Case 135;20.67;33.33;5.361;2641;1,08E+07;9272;8.39e+004;2,15E+07;0.05317;0.6679
Case 136;20.67;33.33;6.689;2640;1,08E+07;9109;8,49E+07;2.15e+004;0.05305;0.6685
Case 137;20.67;33.33;8.017;2639;1,08E+07;8946;8,59E+07;2,15E+07;0.05291;0.6691
Case 138;20.67;33.33;9.344;2638;1,08E+07;8784;8,69E+07;2,16E+07;0.05276;0.6698
Case 139;20.67;33.33;10.67;2637;1,08E+07;8622;8,79E+07;2,16E+07;0.0526;0.6706
Case 140;20.67;33.33;12;2636;1,08E+07;8461;8,89E+07;2,16E+07;0.05244;0.6713
Case 141;20.67;36.11;0.05;2649;1,08E+07;9934;7,97E+07;2.14e+004;0.05349;0.6667
Case 142;20.67;36.11;1.378;2649;1,08E+07;9766;8,08E+07;2.14e+004;0.05375;0.6656
Case 143;20.67;36.11;2.706;2648;1,08E+07;9600;8,18E+07;2,14E+07;0.05374;0.6656
Case 144;20.67;36.11;4.033;2648;1,08E+07;9436;8,28E+07;2,14E+07;0.05366;0.666
Case 145;20.67;36.11;5.361;2647;1,08E+07;9272;8,38E+07;2,15E+07;0.05355;0.6665
Case 146;20.67;36.11;6.689;2645;1,08E+07;9109;8.48e+004;2,15E+07;0.05342;0.6671
Case 147;20.67;36.11;8.017;2644;1,08E+07;8947;8.58e+004;2,15E+07;0.05328;0.6678
Case 148;20.67;36.11;9.344;2643;1,08E+07;8785;8.68e+004;2,16E+07;0.05313;0.6685
Case 149;20.67;36.11;10.67;2642;1,08E+07;8623;8.78e+004;2,16E+07;0.05297;0.6692
Case 150;20.67;36.11;12;2641;1,08E+07;8462;8.88e+004;2.16e+004;0.05281;0.67
Case 151;20.67;38.89;0.05;2655;1,08E+07;9931;7,96E+07;2,14E+07;0.05413;0.6642
Case 152;20.67;38.89;1.378;2655;1,08E+07;9765;8,07E+07;2,14E+07;0.05419;0.6639
Case 153;20.67;38.89;2.706;2654;1,08E+07;9600;8,17E+07;2,14E+07;0.05414;0.6642
Case 154;20.67;38.89;4.033;2653;1,08E+07;9436;8,27E+07;2,14E+07;0.05405;0.6646
Case 155;20.67;38.89;5.361;2652;1,08E+07;9273;8,37E+07;2,15E+07;0.05393;0.6652
Case 156;20.67;38.89;6.689;2651;1,08E+07;9110;8,47E+07;2,15E+07;0.05379;0.6658
Case 157;20.67;38.89;8.017;2650;1,08E+07;8948;8,57E+07;2,15E+07;0.05365;0.6664
Case 158;20.67;38.89;9.344;2648;1,08E+07;8786;8.67e+004;2,15E+07;0.0535;0.6671
Case 159;20.67;38.89;10.67;2647;1,08E+07;8624;8.77e+004;2,16E+07;0.05334;0.6679
Case 160;20.67;38.89;12;2646;1,08E+07;8463;8,87E+07;2.16e+004;0.05317;0.6686
Case 161;20.67;41.67;0.05;2661;1,08E+07;9930;7,95E+07;2,14E+07;0.05462;0.6624
Case 162;20.67;41.67;1.378;2660;1,08E+07;9764;8,06E+07;2,14E+07;0.05461;0.6624
Case 163;20.67;41.67;2.706;2659;1,08E+07;9600;8,16E+07;2,14E+07;0.05454;0.6628
Case 164;20.67;41.67;4.033;2658;1,08E+07;9436;8,26E+07;2,14E+07;0.05443;0.6632
Case 165;20.67;41.67;5.361;2657;1,08E+07;9273;8,36E+07;2,15E+07;0.05431;0.6638
Case 166;20.67;41.67;6.689;2656;1,08E+07;9110;8,46E+07;2,15E+07;0.05417;0.6644
Case 167;20.67;41.67;8.017;2655;1,08E+07;8948;8,56E+07;2,15E+07;0.05402;0.6651
Case 168;20.67;41.67;9.344;2654;1,08E+07;8786;8,66E+07;2,15E+07;0.05387;0.6658
Case 169;20.67;41.67;10.67;2653;1,08E+07;8625;8,76E+07;2,16E+07;0.05371;0.6665
Case 170;20.67;41.67;12;2651;1,08E+07;8464;8,86E+07;2,16E+07;0.05354;0.6673
Case 171;20.67;44.44;0.05;2666;1,08E+07;9929;7,94E+07;2,14E+07;0.05507;0.6608
Case 172;20.67;44.44;1.378;2665;1,08E+07;9764;8,04E+07;2,14E+07;0.05502;0.661
Case 173;20.67;44.44;2.706;2664;1,08E+07;9600;8,15E+07;2.14e+004;0.05493;0.6614
Case 174;20.67;44.44;4.033;2663;1,08E+07;9436;8,25E+07;2,14E+07;0.05482;0.6619
Case 175;20.67;44.44;5.361;2662;1,08E+07;9273;8,35E+07;2,15E+07;0.05469;0.6625
Case 176;20.67;44.44;6.689;2661;1,08E+07;9111;8,45E+07;2,15E+07;0.05454;0.6631
Case 177;20.67;44.44;8.017;2660;1,08E+07;8949;8,55E+07;2.15e+004;0.0544;0.6638
Case 178;20.67;44.44;9.344;2659;1,08E+07;8787;8,65E+07;2,15E+07;0.05424;0.6645
Case 179;20.67;44.44;10.67;2658;1,08E+07;8626;8,75E+07;2,16E+07;0.05408;0.6652
Case 180;20.67;44.44;12;2657;1,08E+07;8465;8,85E+07;2,16E+07;0.05392;0.6659
Case 181;20.67;47.22;0.05;2672;1,08E+07;9928;7,93E+07;2,14E+07;0.05549;0.6593
Case 182;20.67;47.22;1.378;2671;1,08E+07;9764;8,03E+07;2,14E+07;0.05543;0.6596
Case 183;20.67;47.22;2.706;2670;1,08E+07;9600;8,14E+07;2,14E+07;0.05532;0.66
Case 184;20.67;47.22;4.033;2669;1,08E+07;9437;8,24E+07;2,14E+07;0.0552;0.6606
Case 185;20.67;47.22;5.361;2668;1,08E+07;9274;8,34E+07;2,14E+07;0.05507;0.6611
Case 186;20.67;47.22;6.689;2666;1,08E+07;9112;8,44E+07;2,15E+07;0.05492;0.6618
Case 187;20.67;47.22;8.017;2665;1,08E+07;8950;8,54E+07;2,15E+07;0.05477;0.6624
Case 188;20.67;47.22;9.344;2664;1,08E+07;8788;8,64E+07;2,15E+07;0.05462;0.6631
Case 189;20.67;47.22;10.67;2663;1,08E+07;8627;8,74E+07;2,16E+07;0.05446;0.6638
Case 190;20.67;47.22;12;2662;1,08E+07;8466;8,84E+07;2,16E+07;0.0543;0.6646
Case 191;20.67;50;0.05;2677;1.08e+004;9928;7,92E+07;2,13E+07;0.05591;0.6578
Case 192;20.67;50;1.378;2676;1.08e+004;9763;8,02E+07;2,14E+07;0.05583;0.6582
Case 193;20.67;50;2.706;2675;1,08E+07;9600;8,12E+07;2,14E+07;0.05572;0.6587
Case 194;20.67;50;4.033;2674;1,08E+07;9437;8,23E+07;2,14E+07;0.05559;0.6592
Case 195;20.67;50;5.361;2673;1,08E+07;9274;8,33E+07;2,14E+07;0.05545;0.6598
Case 196;20.67;50;6.689;2672;1,08E+07;9112;8,43E+07;2,15E+07;0.05531;0.6605
Case 197;20.67;50;8.017;2671;1,08E+07;8950;8,53E+07;2,15E+07;0.05515;0.6611
Case 198;20.67;50;9.344;2669;1,08E+07;8789;8,63E+07;2,15E+07;0.055;0.6618
Case 199;20.67;50;10.67;2668;1,08E+07;8628;8,73E+07;2,15E+07;0.05484;0.6625
Case 200;20.67;50;12;2667;1,08E+07;8468;8,83E+07;2,16E+07;0.05468;0.6632
Case 202;23.33;25;1.378;2628;1,08E+07;9695;8,15E+07;2.14e+004;0.05234;0.6706
Case 203;23.33;25;2.706;2628;1,08E+07;9526;8,25E+07;2.14e+004;0.05264;0.6693
Case 204;23.33;25;4.033;2627;1,08E+07;9361;8,35E+07;2,14E+07;0.05262;0.6694
Case 205;23.33;25;5.361;2626;1,08E+07;9196;8,45E+07;2,15E+07;0.05253;0.6698
Case 206;23.33;25;6.689;2625;1,08E+07;9033;8,56E+07;2,15E+07;0.05241;0.6704
Case 207;23.33;25;8.017;2624;1,08E+07;8870;8,66E+07;2,15E+07;0.05227;0.6711
Case 208;23.33;25;9.344;2623;1,08E+07;8707;8,76E+07;2,15E+07;0.05212;0.6718
Case 209;23.33;25;10.67;2622;1,08E+07;8545;8,86E+07;2,16E+07;0.05196;0.6726
Case 210;23.33;25;12;2621;1,08E+07;8383;8,96E+07;2,16E+07;0.05179;0.6734
Case 212;23.33;27.78;1.378;2634;1,08E+07;9692;8,14E+07;2,14E+07;0.05301;0.6679
Case 213;23.33;27.78;2.706;2633;1,08E+07;9526;8,24E+07;2.14e+004;0.05308;0.6676
Case 214;23.33;27.78;4.033;2632;1,08E+07;9361;8,34E+07;2,14E+07;0.05302;0.6679
Case 215;23.33;27.78;5.361;2631;1,08E+07;9197;8,44E+07;2,15E+07;0.05291;0.6684
Case 216;23.33;27.78;6.689;2630;1,08E+07;9033;8,54E+07;2,15E+07;0.05278;0.669
Case 217;23.33;27.78;8.017;2629;1,08E+07;8870;8,64E+07;2.15e+004;0.05263;0.6697
Case 218;23.33;27.78;9.344;2628;1,08E+07;8708;8,74E+07;2,15E+07;0.05248;0.6705
Case 219;23.33;27.78;10.67;2627;1,08E+07;8546;8,85E+07;2,16E+07;0.05231;0.6712
Case 220;23.33;27.78;12;2626;1,08E+07;8384;8,94E+07;2,16E+07;0.05214;0.672
Case 221;23.33;30.56;0.05;2639;1,08E+07;9860;8,02E+07;2,14E+07;0.05322;0.6672
Case 222;23.33;30.56;1.378;2639;1,08E+07;9691;8,13E+07;2,14E+07;0.0535;0.666
Case 223;23.33;30.56;2.706;2639;1,08E+07;9525;8.23e+004;2,14E+07;0.05349;0.6661
Case 224;23.33;30.56;4.033;2638;1,08E+07;9361;8,33E+07;2,14E+07;0.0534;0.6665
Case 225;23.33;30.56;5.361;2637;1,08E+07;9197;8,43E+07;2,14E+07;0.05328;0.667
Case 226;23.33;30.56;6.689;2636;1,08E+07;9034;8,53E+07;2,15E+07;0.05315;0.6677
Case 227;23.33;30.56;8.017;2634;1,08E+07;8871;8,63E+07;2.15e+004;0.053;0.6684
Case 228;23.33;30.56;9.344;2633;1,08E+07;8709;8,73E+07;2,15E+07;0.05284;0.6691
Case 229;23.33;30.56;10.67;2632;1,08E+07;8547;8,83E+07;2,16E+07;0.05267;0.6699
Case 230;23.33;30.56;12;2631;1,08E+07;8385;8,93E+07;2,16E+07;0.0525;0.6707
Case 231;23.33;33.33;0.05;2645;1,08E+07;9857;8,02E+07;2,14E+07;0.05388;0.6646
Case 232;23.33;33.33;1.378;2645;1,08E+07;9690;8,12E+07;2,14E+07;0.05394;0.6644
Case 233;23.33;33.33;2.706;2644;1,08E+07;9525;8.22e+004;2,14E+07;0.05389;0.6646
Case 234;23.33;33.33;4.033;2643;1,08E+07;9361;8,32E+07;2,14E+07;0.05378;0.6651
Case 235;23.33;33.33;5.361;2642;1,08E+07;9198;8,42E+07;2,14E+07;0.05366;0.6657
Case 236;23.33;33.33;6.689;2641;1,08E+07;9035;8,52E+07;2,15E+07;0.05352;0.6663
Case 237;23.33;33.33;8.017;2640;1,08E+07;8872;8,62E+07;2,15E+07;0.05336;0.667
Case 238;23.33;33.33;9.344;2639;1,08E+07;8710;8,72E+07;2,15E+07;0.0532;0.6678
Case 239;23.33;33.33;10.67;2637;1,08E+07;8548;8,82E+07;2,16E+07;0.05304;0.6685
Case 240;23.33;33.33;12;2636;1,08E+07;8387;8,92E+07;2,16E+07;0.05287;0.6693
Case 241;23.33;36.11;0.05;2651;1,08E+07;9856;8,01E+07;2,13E+07;0.05437;0.6628
Case 242;23.33;36.11;1.378;2650;1,08E+07;9690;8,11E+07;2,14E+07;0.05436;0.6628
Case 243;23.33;36.11;2.706;2649;1,08E+07;9525;8,21E+07;2,14E+07;0.05428;0.6632
Case 244;23.33;36.11;4.033;2648;1,08E+07;9361;8.31e+004;2,14E+07;0.05417;0.6637
Case 245;23.33;36.11;5.361;2647;1,08E+07;9198;8,41E+07;2,14E+07;0.05403;0.6643
Case 246;23.33;36.11;6.689;2646;1,08E+07;9035;8,51E+07;2,15E+07;0.05389;0.665
Case 247;23.33;36.11;8.017;2645;1,08E+07;8873;8,61E+07;2,15E+07;0.05373;0.6657
Case 248;23.33;36.11;9.344;2644;1,08E+07;8711;8,71E+07;2,15E+07;0.05357;0.6664
Case 249;23.33;36.11;10.67;2643;1,08E+07;8549;8,81E+07;2,15E+07;0.0534;0.6672
Case 250;23.33;36.11;12;2641;1,08E+07;8388;8,91E+07;2,16E+07;0.05323;0.668
Case 251;23.33;38.89;0.05;2656;1,08E+07;9855;8,00E+07;2,13E+07;0.05482;0.6612
Case 252;23.33;38.89;1.378;2656;1,08E+07;9690;8,10E+07;2,14E+07;0.05477;0.6614
Case 253;23.33;38.89;2.706;2655;1,08E+07;9525;8,20E+07;2,14E+07;0.05467;0.6618
Case 254;23.33;38.89;4.033;2654;1,08E+07;9362;8,30E+07;2.14e+004;0.05455;0.6624
Case 255;23.33;38.89;5.361;2652;1,08E+07;9199;8.4e+004;2,14E+07;0.05441;0.663
Case 256;23.33;38.89;6.689;2651;1,08E+07;9036;8.5e+004;2,15E+07;0.05426;0.6637
Case 257;23.33;38.89;8.017;2650;1,08E+07;8874;8,60E+07;2,15E+07;0.0541;0.6644
Case 258;23.33;38.89;9.344;2649;1,08E+07;8712;8,70E+07;2,15E+07;0.05394;0.6651
Case 259;23.33;38.89;10.67;2648;1,08E+07;8550;8,80E+07;2,15E+07;0.05377;0.6659
Case 260;23.33;38.89;12;2647;1,08E+07;8389;8.9e+004;2,16E+07;0.0536;0.6666
Case 261;23.33;41.67;0.05;2662;1,08E+07;9854;7,99E+07;2,13E+07;0.05524;0.6597
